id	title	body
FW14-e089-7211-01	Blue Book of Grammar and Punctuation	An indispensable and entertaining guide for writers, proofreaders, editors, managers, clerical staff, teachers, and students. Use this site to find the answers to your questions concerning proper English grammar and punctuation.
FW14-e089-7207-07	EARTHFORCE	If you've ever felt the rumble of an earthquake or seen the eruption of a volcano, you've witnessed EARTHFORCE. EARTHFORCE is the pushing and pulling in the core, crust, or water of the Earth that causes motion like eruptions, quakes, or floods.
FW14-e089-7207-04	Faultline, Seismic Science at the Epicenter	The Exploratorium presents a prolific website that has live data on earthquakes around the world, in depth statistics and stories about the greatest earthquakes in history, the basics of earthquakes, stories about how scientists and architects are preparing for the next big quake, and many more activities.
FW14-e089-7207-05	Tsunami and Earthquake Research at the USGS	Here you will find general information on how local tsunamis are generated by earthquakes as well as animations, virtual reality models of tsunamis, and summaries of past research studies.
FW14-e089-7207-08	National Geographic-Eye in the Sky	National Geographic presents 'Eye in the Sky,' which is a look at natural disasters such as tornadoes, volcanoes, hurricanes, wild fires, and earthquakes around the world. Check out video clips and tons of fun facts about these phenomenons.
FW14-e089-7207-09	Savage Earth	In this Web companion piece to the PBS series, original articles by journalists Daniel Pendick and Kathy Svitil explain the science behind volcanoes, earthquakes, and tsunamis, and feature original animations that illustrate the action of these natural phenomena. You can also Ask the Experts your questions, and explore other Savage Sites on the Web.
FW14-e089-7326-03	Volcanoes of the United States-USGS	This site gives a nice introduction to the sciences behind volcanoes, a history of volcanoes on North America, and recent eruptions that have happened in North America.
FW14-e089-7326-02	Volcanoes of the United States-USGS	This site gives a nice introduction to the sciences behind volcanoes, a history of volcanoes on North America, and recent eruptions that have happened in North America.
FW14-e089-7326-01	Volcanoes: Can We Predict Volcanic Eruptions?	Today, there are many active volcanoes worldwide. Is there anything we can do to predict how and when they will erupt? As the world's population grows, more and more people are living in potentially dangerous volcanic areas. Volcanic eruptions continue--as they have throughout history--posing ever-greater threats to life and property.
FW14-e089-7265-01	Major Biomes of the World	Have you visited any biomes lately? A biome is a large ecosystem where plants, animals, insects, and people live in a certain type of climate. The world contains many other biomes: grasslands, deserts, and mountains, to name a few. The plants and animals living in each are as different as their climates
FW14-e089-7216-01	Salmonella	Presented by the Center for Disease Control, this web page gives you information such as what is salmonella, diagnosis and treatment, technical information, prevention, and additional information.
FW14-e089-7207-10	Tsunami Research Program	Here you will learn how tsunamis are caused by underwater earthquakes.
FW14-e089-7015-01	Official Site of the Baltimore Ravens	The official site of The Baltimore Ravens National Football League AFC team. The site includes statistics, schedule, player roster, and more. ( NFL )
FW14-e089-7137-01	North Carolina Virtual Visits	The purpose of Virtual Visits is to provide students and educators with a virtual visit to interesting sites around North Carolina. The first area to be covered will be state government sites in Raleigh. Users will be able to tour Raleigh's state government sites and view pictures, maps, text, and QTVR movies of each site. This site will work on any computer platform as long as the Apple Computer QTVR Plug-in and component software are installed.
FW14-e089-7207-06	SEED-Tsunami	An excellent website with in depth exploration of tsunamis including visualizations of tsunamis, earthquakes, geologic history and tons more. A must visit for anyone interested in tsunamis.
FW14-e089-7207-03	FEMA for Kids-Tsunami	A tsunami is a series of huge waves that happen after an undersea disturbance, such as an earthquake or volcano eruption. Learn about the biggest ones that have happened and see which areas of the world are at the greatest risk of being struck.
FW14-e089-7207-02	Natural Disasters Without Warning	Throughout this site you will find interesting facts about twisters, earthquakes, and volcanoes. This page is not only for the young people, but also for the older viewer. In this web site you will not only find information, you will also find fun quizzes and tough tongue twisters.
FW14-e089-7207-01	Patricia Lauber from HarperCollins Publishing	Patricia Lauber is the author of more than sixty-five books for young readers. Many of them are in the field of science, and their range reflects the diversity of her own interests-bats, dolphins, dogs, volcanoes, earthquakes, the ice ages, the Everglades, the planets, earthworms.
FW14-e089-7146-01	Why Do Leaves Change Color in the Fall?	Most people enjoy the beautiful show of colors as the leaves change each autumn. Many wonder how and why this happens. To answer that, first we have to understand what leaves are and what they do. Also includes information on how plants prepare for winter. Features a very brief easy-reader section on changing fall leaves, a word scramble activity, and 3 leaf-color science experiments.
FW14-e089-7137-03	adidas USA	Includes a product catalog and features on specific sports. Also includes copy and movies from Adidas TV ads.
FW14-e089-7137-02	BrainPOP	BrainPOP was created to satisfy a demand among parents and educators for an Internet environment where young people could learn about health, science and technology while having fun. BrainPOP presents animated movies on topics like:acne; teeth; hair; brain; blood; asthma; diabetes; skeleton; period; urinary; electricity; water cycle; rainbow; waves; solar system, and more.
FW14-e089-7326-04	Terrestrial Volcanoes	What is an eruption? What are the different types of volcanoes? These answers along with movies and links to other volcano information.
