id	title	body
FW14-e036-7015-01	Robert J. Raven	"* 2707: 1-20. 1982 Raven, R.J., (1982a). On the mygalomorph spider genus Xamiatus Raven (Diplurinae: Dipluridae)

9 KB (1,406 words) - 08:23, 16 February 2013"
FW14-e036-7015-02	Euagrinae	"* Stenygrocercus Name Euagrinae Raven, 1979 References Raven, R. J. 1979. Systematics of the mygalomorph spider genus

741 B (76 words) - 15:45, 8 June 2009"
FW14-e036-7207-01	Sauroposeidon	"* 2000 Vernacular names English: Sauroposeidon (""earthquake god lizard"")日本語: サウロポセイドン中文: 波塞東龍 For more multimedia

922 B (96 words) - 18:41, 1 March 2010"
FW14-e036-7207-02	Euphydryas chalcedona	"* Type(s) destroyed in the 1906 San Francisco earthquake and fire; neotype in CAS, designated by J. Emmel

3 KB (402 words) - 20:56, 12 January 2014"
FW14-e036-7207-03	ISSN 0303-6758/1	"* 1(1) Eiby, G.A. 1971: The frequency of earthquake occurrence in New Zealand. Journal of the Royal Society

1 KB (230 words) - 02:41, 20 April 2014"
FW14-e036-7207-04	Euphydryas chalcedona chalcedona	"* Type(s) destroyed in the 1906 San Francisco earthquake and fire; neotype in CAS, designated by J. Emmel

3 KB (358 words) - 20:56, 12 January 2014"
FW14-e036-7207-05	ISSN 0373-7233/1	"* vegetation of the sea floor raised by the Hawke's Bay earthquake of 1931. Records of the Dominion Museum, 1(1):

2 KB (356 words) - 08:05, 26 November 2013"
FW14-e036-7207-06	Hiroshi Senou	"* occurred in shallow coastal waters during the earthquake swarm off the eastern coast of Izu Peninsula

27 KB (4,610 words) - 06:19, 8 February 2011"
FW14-e036-7265-01	Agoseris grandiflora	"* flora_id=1&taxon_id=100829) USDA NRCS PLANTS Profile : Agoseris. Vernacular names English: grassland agoseris

964 B (123 words) - 20:47, 29 August 2011"
FW14-e036-7265-02	Barbara Ingeborg Patricia Barratt	"* al. 2012: Biodiversity of indigenous tussock grassland sites in Otago, Canterbury and the Central North

2 KB (295 words) - 00:26, 4 December 2012"
FW14-e036-7265-03	Cladonia schofieldii	"* Host-Substratum/Locality: On mineral soil in grassland: British Columbia References Brodo & Ahti, Can

872 B (111 words) - 18:50, 25 February 2012"
FW14-e036-7265-04	Bidens micrantha	"* National Plant Data Center, Baton Rouge, LA 70874-4490 USA. Vernacular names English: grassland beggarticks

709 B (92 words) - 13:38, 6 October 2010"
FW14-e036-7265-05	Rhopalimorpha lineolaris	"* ; Patrick, B.H. 1987: Insects of snow tussock grassland on the East Otago Plateau. New Zealand entomologist

2 KB (237 words) - 01:05, 29 November 2013"
FW14-e036-7265-06	Irenimus compressus	"* (Insecta: Coleoptera) of New Zealand agricultural grassland and lucerne as potential non-target hosts of the

4 KB (520 words) - 07:03, 9 May 2011"
FW14-e036-7265-07	Agoseris grandiflora var. grandiflora	"* flora_id=1&taxon_id=100829) USDA NRCS PLANTS Profile : Agoseris. Vernacular names English: grassland agoseris

1 KB (189 words) - 17:51, 30 December 2009"
FW14-e036-7265-08	Triodanis leptocarpa	"* Selected Plant Families (WCSP). Retrieved on 2011-11-30. Triodanis leptocarpa. USDA Plants Profile. Retrieved

1 KB (190 words) - 13:14, 30 November 2011"
FW14-e036-7265-09	Irenimus aemulator	"* (Insecta: Coleoptera) of New Zealand agricultural grassland and lucerne as potential non-target hosts of the

3 KB (445 words) - 06:01, 8 May 2011"
FW14-e036-7045-10	Etheostoma (Doration) teddyroosevelt	"* monuments, and national parks, and his efforts to forge the American Museum of Natural History, New York.

1 KB (194 words) - 23:28, 18 November 2012"
FW14-e036-7045-09	Susan K. Bell	"* Department of Paleontology, American Museum of Natural History, Central Park West at 79th Street, New York

184 B (27 words) - 02:28, 18 September 2011"
FW14-e036-7045-08	Agathidium	"* of North and Central America, Part II. Bulletin of the American Museum of Natural History 291: 1-167.

4 KB (502 words) - 04:39, 8 September 2013"
FW14-e036-7015-09	Barychelidae	"* reference page  Raven, R. J. 1994. Mygalomorph spiders of the Barychelidae in Australia and the western Pacific

2 KB (156 words) - 21:53, 26 August 2012"
FW14-e036-7015-03	Plantae	"* evolution of the green algae. Critical Reviews in Plant Sciences 31 (1): 1-46. PDF Raven, Peter H., Evert

5 KB (455 words) - 04:58, 7 March 2014"
FW14-e036-7015-04	Mygalomorphae	"* novitates, (3056) Handle reference page  Raven, R. J. 1985. The spider infraorder Mygalomorphae (Araneae):

2 KB (188 words) - 21:44, 1 March 2014"
FW14-e036-7015-05	Euctenizidae	"* Euctenizidae Raven, 1985 Selected references Bond, J.E. et al. 2012: A reconsideration of the classification

849 B (91 words) - 21:51, 1 March 2014"
FW14-e036-7015-06	Zoropsinae	"* Takeoa – Uliodon – Zoropsis Name Zoropsinae References Raven, R. J. & K. S. Stumkat. 2005. Revisions of Australian

738 B (80 words) - 17:15, 29 April 2009"
FW14-e036-7015-07	Epilobium	"* References Sp. Pl. 1: 347. 1753. Raven, P.H.; Raven, T.E. 1976: The genus Epilobium (Onagraceae) in Australasia:

2 KB (209 words) - 19:29, 10 October 2013"
FW14-e036-7015-08	Zoropsidae	"* Zealand. ISBN 9780478347050 Raven, R.J.; Stumkat, K. 2003: Problem solving in the spider families Miturgidae

2 KB (242 words) - 03:55, 31 October 2013"
FW14-e036-7015-10	Cyrtaucheniidae	"* Cyrtaucheniidae Simon, 1892 References Raven, R. J. 1985. The spider infraorder Mygalomorphae (Araneae):

965 B (106 words) - 21:58, 1 March 2014"
FW14-e036-7045-07	Damaris Rodríguez	"* Rodríguez U.S. ichthyologist American Museum of Natural History, Central Park West at 79th Street, New York

140 B (22 words) - 16:22, 28 January 2012"
FW14-e036-7045-01	Holotype	"* Holotype (redirect Museo de Historia Natural Universidad Nacional Mayor de San Marcos)

The Natural History Museum, see BMNH] BML [The Natural History Museum, see BMNH] BMNH The Natural History

96 KB (13,089 words) - 07:33, 19 April 2014"
FW14-e036-7045-02	Yun Sil Park	"* cariosa complex and homoheveadride in natural thalli and single-spore cultures of C. polycarpoides and

1 KB (185 words) - 02:43, 16 November 2013"
FW14-e036-7045-03	Taran Grant	"* zoologist Postdoctoral Fellow, American Museum of Natural History, Central Park West at 79th Street, New York

186 B (27 words) - 05:55, 12 August 2011"
FW14-e036-7045-04	Ward C. Wheeler	"* Division of Invertebrate Zoology, American Museum of Natural History, Central Park West at 79th Street, New York

211 B (31 words) - 05:45, 12 August 2011"
FW14-e036-7045-05	Coelotinae	"* (Araneae, Amaurobiidae). Bulletin of the American Museum of Natural History, (269) doi: 10.1206/0003-009

3 KB (326 words) - 03:51, 26 April 2012"
FW14-e036-7045-06	Pheidolini	"* region. Bulletin of the American Museum of Natural History, 45: 711-1004. Park & Kim. 2000: Systematic

2 KB (199 words) - 07:37, 18 May 2013"
FW14-e036-7265-10	A.A. Legalov	"* of Novosibirsk Area. ''The pests and blasts of plants of West Siberia. Novosibirsk'': 27–36. [in Russian]

45 KB (6,349 words) - 06:26, 24 March 2014"
